Province_S, Province_L ,provinceLao,feature_id,value
VTE, Vientiane Capital ,ນະຄອນຫຼວງວຽງຈັນ,13,5835
PHO, Phongsaly ,ຜົ້ງສາລີ,10,1917
LNT, Luangnamtha ,ຫຼວງນໍ້າທາ,7,2574
ODX, Oudomxay ,ອຸດົມໄຊ,9,15191
BK , Bokeo ,ບໍ່ແກ້ວ,2,5392
LPB, Luangprabang ,ຫຼວງພະບາງ,8,12856
HPH, Huaphanh ,ຫົວພັນ,5,9891
XYB, Xayabury ,ໄຊຍະບູລີ,0,12907
XK, Xiengkhuang ,ຊຽງຂວາງ,17,8996
VTP, Vientiane ,ແຂວງວຽງຈັນ,14,3128
BKX, Borikhamxay ,ບໍລິຄຳໄຊ,3,9360
KHM, Khammuane ,ຄຳມ່ວນ,6,15571
SVK, Savannakhet ,ສະຫວັນນະເຂດ,12,36148
SLV, Saravane ,ສາລະວັນ,11,12984
SK, Sékong ,ເຊກອງ,16,4290
CPS, Champasak ,ຈຳປາສັກ,4,8936
ATP, Attapeu ,ອັດຕະປື,1,4758
XSB, Xaysomboun ,ໄຊສົມບູນ,15,1135